San Francisco, CA	Austin, TX	2
San Francisco, CA	Redondo Beach, CA	2
San Francisco, CA	Wilmington, NC	2
San Francisco, CA	Gainesville, FL	2
San Francisco, CA	Omaha, NE	2
San Francisco, CA	Roswell, NM	2
San Francisco, CA	Bellevue, WA	4
San Francisco, CA	Smithers, BC	2
San Francisco, CA	Cambridge, MA	2
San Francisco, CA	Fremont, CA	8
San Francisco, CA	St Chico, CA	2
San Francisco, CA	Chino, CA	2
San Francisco, CA	Petaluma, CA	2
San Francisco, CA	Miguel Hidalgo, DF	2
San Francisco, CA	Madison, WI	2
San Francisco, CA	Fredericksburg, VA	4
San Francisco, CA	Capitola, CA	2
San Francisco, CA	West Orange, NJ	2
San Francisco, CA	Houston, TX	2
San Francisco, CA	Torrance, CA	4
San Francisco, CA	Nevada City, CA	2
San Francisco, CA	Pittsburgh, PA	2
San Francisco, CA	Hillsboro, OR	2
San Francisco, CA	Toledo, OH	2
San Francisco, CA	Wheeling, WV	2
San Francisco, CA	San Leandro, CA	2
San Francisco, CA	Long Beach, NY	2
Berkeley, CA	Artesia, CA	2
Berkeley, CA	Rantoul, IL	6
Berkeley, CA	La Jolla, CA	22
Berkeley, CA	New York, NY	170
Berkeley, CA	Runnemede, NJ	6
Berkeley, CA	Urbana, IL	6
Berkeley, CA	Plymouth, MI	12
Berkeley, CA	Congers, NY	6
Berkeley, CA	Fullerton, CA	22
Berkeley, CA	Mt Laurel, NJ	8
Berkeley, CA	Cleveland, OH	2
Berkeley, CA	Milwaukee, WI	2
Berkeley, CA	Seattle, WA	34
Berkeley, CA	Northampton, MA	10
Berkeley, CA	Princeton, WI	14
Berkeley, CA	Westlake Village, CA	8
Berkeley, CA	Chicago, IL	6
Berkeley, CA	Boston, MA	4
Berkeley, CA	San Diego, CA	74
Berkeley, CA	Richmond Hill, ON	2
Berkeley, CA	Milwaukie, OR	52
Berkeley, CA	San Jose, CA	10
Berkeley, CA	Portland, OR	34
Berkeley, CA	Los Angeles, CA	66
Berkeley, CA	Neshannock, PA	2
Berkeley, CA	Forestville, CA	12
Berkeley, CA	Minneapolis, MN	2
Berkeley, CA	Auburn, CA	8
Berkeley, CA	Albany, NY	4
Berkeley, CA	Orange, CA	48
Berkeley, CA	Newbury Park, CA	2
Berkeley, CA	Lexington, KY	2
Berkeley, CA	Dallas, GA	6
Berkeley, CA	MI, MI	2
Berkeley, CA	Livonia, MI	8
Berkeley, CA	Detroit, MI	2
Berkeley, CA	Colorado Springs, CO	2
Berkeley, CA	Garden Grove, CA	2
Berkeley, CA	Anaheim, CA	10
Berkeley, CA	San Juan Capistrano, CA	2
Berkeley, CA	Oceanside, CA	2
Berkeley, CA	Staten Island, NY	2
Berkeley, CA	Marina Del Rey, CA	2
Berkeley, CA	Philadelphia, PA	2
Berkeley, CA	Oakland, CA	8
Berkeley, CA	Culver City, CA	2
Berkeley, CA	Chesapeake, VA	2
Berkeley, CA	Marietta, GA	2
Berkeley, CA	Atlanta, GA	2
Berkeley, CA	Burbank, CA	10
Berkeley, CA	CA, CA	4
Berkeley, CA	Acworth, GA	2
Berkeley, CA	Brooklyn, NY	4
Berkeley, CA	Lebanon, VA	2
Berkeley, CA	Oldsmar, FL	6
Berkeley, CA	Calumet City, IL	2
Berkeley, CA	Gainesville, FL	4
Berkeley, CA	Montreal, QC	2
Berkeley, CA	Jackson, MS	4
Berkeley, CA	Evanston, IL	2
Berkeley, CA	Calabasas, CA	2
Berkeley, CA	Picton, ON	2
Berkeley, CA	Sanborn, NY	2
Berkeley, CA	Dover, NJ	2
Berkeley, CA	Baltimore, MD	4
Berkeley, CA	Berlin, NJ	2
Berkeley, CA	Buffalo, NY	4
Berkeley, CA	El Sobrante, CA	2
Berkeley, CA	Port Washington, WA	2
Berkeley, CA	Irvine, CA	2
Berkeley, CA	Kansas City, MO	2
Berkeley, CA	Dallas, TX	6
Berkeley, CA	Houston, TX	2
Berkeley, CA	San Antonio, TX	4
Berkeley, CA	Indianapolis, IN	2
Berkeley, CA	Mexico City, DF	2
Berkeley, CA	North Hollywood, CA	2
Berkeley, CA	Northridge, CA	2
Berkeley, CA	New Castle, PA	2
Berkeley, CA	Saddle Brook, NJ	2
Berkeley, CA	Cincinnati, OH	4
Berkeley, CA	Lockport, IL	2
Berkeley, CA	Irving, TX	4
Berkeley, CA	Sherman Oaks, CA	2
Berkeley, CA	Dripping Springs, TX	2
Berkeley, CA	Austin, TX	2
Berkeley, CA	Westport, CT	2
Berkeley, CA	Omaha, NE	2
Berkeley, CA	Carrboro, NC	2
Berkeley, CA	Carpinteria, CA	2
Berkeley, CA	Norristown, PA	4
Berkeley, CA	Roswell, NM	2
Berkeley, CA	Prescott, AZ	2
Berkeley, CA	Timonium, MD	2
Berkeley, CA	Scottsdale, AZ	2
Berkeley, CA	Racine, WI	2
Berkeley, CA	Smithers, BC	2
Berkeley, CA	Cambridge, MA	2
Berkeley, CA	White River Junction, VT	2
Berkeley, CA	Somerville, MA	2
Berkeley, CA	Raleigh, NC	4
Berkeley, CA	Beltsville, MD	2
Berkeley, CA	Morgantown, WV	2
Berkeley, CA	Redmond, WA	2
Berkeley, CA	Guerneville, CA	2
Berkeley, CA	Morton Grove, IL	2
Berkeley, CA	Haverhill, MA	2
Berkeley, CA	Northbrook, IL	2
Berkeley, CA	Concord, CA	2
Berkeley, CA	Durham, NC	2
Berkeley, CA	Poughkeepsie, NY	2
Berkeley, CA	Grand Junction, CO	2
Berkeley, CA	Grass Valley, CA	2
Berkeley, CA	Cedarhurst, NY	2
San Diego, CA	Timonium, MD	4
San Diego, CA	Mexico City, DF	2
San Diego, CA	New York, NY	272
San Diego, CA	Milwaukie, OR	134
San Diego, CA	Richmond Hill, ON	2
San Diego, CA	Urbana, IL	10
San Diego, CA	Skokie, IL	2
San Diego, CA	West Hempstead, NY	2
San Diego, CA	Calabasas, CA	8
San Diego, CA	Los Angeles, CA	60
San Diego, CA	La Jolla, CA	36
San Diego, CA	Hawthorne, CA	2
San Diego, CA	Scottsdale, AZ	6
San Diego, CA	Chicago, IL	26
San Diego, CA	Florence, KY	2
San Diego, CA	Forestville, CA	32
San Diego, CA	Northampton, MA	18
San Diego, CA	Albany, NY	6
San Diego, CA	Seattle, WA	32
San Diego, CA	Toms River, NJ	4
San Diego, CA	Rantoul, IL	2
San Diego, CA	Dripping Springs, TX	2
San Diego, CA	Toronto, ON	12
San Diego, CA	Buffalo, NY	4
San Diego, CA	Las Vegas, NV	6
San Diego, CA	Anaheim, CA	6
San Diego, CA	Fullerton, CA	14
San Diego, CA	Kansas City, KS	2
San Diego, CA	Bellingham, WA	6
San Diego, CA	North Hollywood, CA	2
San Diego, CA	Somerset, NJ	4
San Diego, CA	Brooklyn, NY	14
San Diego, CA	Timberlake, OH	2
San Diego, CA	Agoura, CA	10
San Diego, CA	New Castle, PA	6
San Diego, CA	Lincolnwood, IL	2
San Diego, CA	New Rochelle, NY	4
San Diego, CA	Neshannock, PA	8
San Diego, CA	Holbrook, MA	2
San Diego, CA	Racine, WI	18
San Diego, CA	Long Beach, CA	8
San Diego, CA	Miamisburg, OH	6
San Diego, CA	Park Forest, IL	4
San Diego, CA	Mineola, NY	2
San Diego, CA	Kitchener, ON	2
San Diego, CA	Evanston, IL	4
San Diego, CA	Dallas, GA	6
San Diego, CA	MI, MI	6
San Diego, CA	Livonia, MI	4
San Diego, CA	Plymouth, MI	4
San Diego, CA	Detroit, MI	2
San Diego, CA	Franklin Square, NY	4
San Diego, CA	Princeton, WI	10
San Diego, CA	Menomonee Falls, WI	2
San Diego, CA	Orange, CA	16
San Diego, CA	Portland, OR	20
San Diego, CA	San Jose, CA	6
San Diego, CA	Rockville Centre, NY	2
San Diego, CA	Burbank, CA	10
San Diego, CA	Edina, MN	2
San Diego, CA	Mt Laurel, NJ	2
San Diego, CA	San Antonio, TX	4
San Diego, CA	Marietta, GA	8
San Diego, CA	Atlanta, GA	2
San Diego, CA	Acworth, GA	2
San Diego, CA	Lebanon, VA	2
San Diego, CA	Runnemede, NJ	12
San Diego, CA	Oldsmar, FL	8
San Diego, CA	Calumet City, IL	4
San Diego, CA	Tenayuca, DF	2
San Diego, CA	Dover, NJ	4
San Diego, CA	Mountain Home, TN	2
San Diego, CA	Wilmington, DE	2
San Diego, CA	Lake Geneva, WI	2
San Diego, CA	Santa Clara, CA	2
San Diego, CA	Emeryville, CA	2
San Diego, CA	Richmond, VA	2
San Diego, CA	Santa Ynez, CA	2
San Diego, CA	East Lansing, MI	2
San Diego, CA	Norristown, PA	10
San Diego, CA	Jackson, MS	4
San Diego, CA	Westlake Village, CA	4
San Diego, CA	Picton, ON	2
San Diego, CA	Sanborn, NY	2
San Diego, CA	Baltimore, MD	4
San Diego, CA	Berlin, NJ	2
San Diego, CA	Nashville, TN	2
San Diego, CA	Greenwich, CT	4
San Diego, CA	Colorado Springs, CO	2
San Diego, CA	Des Moines, IA	2
San Diego, CA	Kansas City, MO	4
San Diego, CA	Valley Forge, PA	2
San Diego, CA	Carmel, NY	2
San Diego, CA	Hoboken, NJ	2
San Diego, CA	Thousand Oaks, CA	6
San Diego, CA	Montreal, QC	4
San Diego, CA	Iola, WI	2
San Diego, CA	Leonia, NJ	2
San Diego, CA	Warwick, RI	2
San Diego, CA	Cincinnati, OH	6
San Diego, CA	Port Washington, WA	2
San Diego, CA	Peoria, AZ	2
San Diego, CA	Congers, NY	4
San Diego, CA	Calgary, AB	4
San Diego, CA	Norcross, GA	4
San Diego, CA	North Mankato, MN	4
San Diego, CA	Wheeling, WV	2
San Diego, CA	Raleigh, NC	2
San Diego, CA	Boston, MA	2
San Diego, CA	San Rafael, CA	2
San Diego, CA	Laguna Hills, CA	2
San Diego, CA	Kent, OH	2
San Diego, CA	Philadelphia, PA	8
San Diego, CA	Washington Square, NY	2
San Diego, CA	Morton Grove, IL	4
San Diego, CA	Hollywood, CA	2
San Diego, CA	Massapequa, NY	2
San Diego, CA	Melville, NY	2
San Diego, CA	Vancouver, WA	2
San Diego, CA	Sharon, CT	2
