LANG,RECORD #,245abnp,260a,264a,260b,264b,260c,264c,008 Country,SUBJECT,AUTHOR,ADDITIONAL AUTHOR,LIBRARY HAS
eng,b126665345,Briggs Land : Lone Wolves /,,"Milwaukie, Oregon :",,"Dark Horse Comics,",,-2017,onc,"Separatist movements Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85120098","Wood, Brian, 1948- http://id.loc.gov/authorities/names/n86809473","Chater, Mack. http://id.loc.gov/authorities/names/nb2013019357",copy 1 no. 1-2
spa,b126675259,Corazones apasionados.,,"México, D.F. :",,"Safari Editorial, S.A. de C.V.",,,mx,"Romance comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2002006065;""Mexican comic books, strips, etc.""",,,
eng,b126690315,Saigon calling : London 1963-75 /,,"Vancouver, BC, Canada :;",,"Arsenal Pulp Press,;",,"[2017];""©2017""",bcc,"Truong, Marcelino Childhood and youth Comic books, strips, etc. http://id.loc.gov/authorities/names/n00027047;""Truong, Marcelino Family Comic books, strips, etc. http://id.loc.gov/authorities/names/n00027047"";""Vietnamese Great Britain Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85143272"";""Vietnam War, 1961-1975 Personal narratives Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85143277"";""COMICS & GRAPHIC NOVELS / Nonfiction / Biography & Memoir. bisacsh"";""HISTORY / Asia / Southeast Asia. bisacsh"";""HISTORY / Military / Vietnam War. bisacsh"";""London (England) History 1951- Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85078211"";""Autobiographical comics. lcgft http://id.loc.gov/authorities/genreForms/gf2014026229"";""Graphic novels. lcgft http://id.loc.gov/authorities/genreForms/gf2014026362"";""Graphic novels France."";""Graphic novels United States.""","Truong, Marcelino, author, artist. http://id.loc.gov/authorities/names/no2017144776","Homel, David, translator. http://id.loc.gov/authorities/names/n84066752",
eng,b127643989,Disney princess.,,"Toronto, Ontario :",,"Joe Books Ltd.,",,2018,onc,"Fantasy comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh97000542;""Canadian comic books, strips, etc."";""Fantasy comics. lcgft http://id.loc.gov/authorities/genreForms/gf2014026331""",,,
eng,b12764412x,Howard Lovecraft big book of Summer fun.,,[Canada?] :,,"Arcana Studio,",,2018,xxc,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837;""Canadian comic books, strips, etc.""",,,
eng,b127648136,Sunburning /,,"[Toronto, Ontario] :",,"Koyama Press,",,2017,onc,"Manic-depressive persons Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh96000082;""Women cartoonists Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85147493"";""Autobiographical comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2011002678""","Roberts, Keiler, author. http://id.loc.gov/authorities/names/n2015073007",,
eng,b127651524,Gorgeous /,,"[Toronto, Ontario, Canada] :",,"Koyama Press,",,2016,onc,"Alternative comic books, strips, etc.","Johnson, Cathy G. http://id.loc.gov/authorities/names/no2015076983",,
spa,b127652000,"Carmen Amaya, el ciclón gitano.",,"México, D.F. :",,"Organización Editorial Novaro,",,1967,mx,"Amaya, Carmen Comic books, strips, etc. http://id.loc.gov/authorities/names/n93077266;""Mexican comic books, strips, etc.""",,,
eng,b127652693,Mecha-press.,[Montréal] :,,"[Ianus Publications],",,-1991,,quc,"Jeux Périodiques.;""Japanese comic books, strips, etc. History and criticism Periodicals."";""Animated films Japan Periodicals. http://id.loc.gov/authorities/subjects/sh99004613""",,,
eng,b127657605,See you next Tuesday /,,"[Toronto, Ontario] :",,"Koyama Press,",,November 2015.,onc,"Mai, Jane Comic books, strips, etc.;""Cartoonists United States Biography Comic books, strips, etc."";""Young women Conduct of life Comic books, strips, etc."";""Diaries Comic books, strips, etc."";""COMICS & GRAPHIC NOVELS / Contemporary Women. bisacsh"";""COMICS & GRAPHIC NOVELS / Literary. bisacsh"";""COMICS & GRAPHIC NOVELS / Nonfiction. bisacsh"";""DESIGN / Graphic Arts. bisacsh"";""Autobiographical comics. lcgft"";""Comics (Graphic works) lcgft""","Mai, Jane, artist, author.",,
